
Chad Pennington;NYJ;275 ;399 ;3120 ;22 ;6 
Rich Gannon;OAK;418 ;618 ;4689 ;26 ;10 
Brad Johnson;TAM;281 ;451 ;3049 ;22 ;6 
Trent Green;KAN;287 ;470 ;3690 ;26 ;13 
Peyton Manning;IND;392 ;591 ;4200 ;27 ;19 
Matt Hasselbeck;SEA;267 ;419 ;3075 ;15 ;10 
Donovan McNabb;PHI;211 ;361 ;2289 ;17 ;6 
Drew Bledsoe;BUF;375 ;610 ;4359 ;24 ;15 
Tom Brady;NWE;373 ;601 ;3764 ;28 ;14 
Mark Brunell;JAC;245 ;416 ;2788 ;17 ;7 
Jeff Garcia;SFO;328 ;528 ;3344 ;21 ;10 
Brian Griese;DEN;291 ;436 ;3214 ;15 ;15 
Brett Favre;GNB;341 ;551 ;3658 ;27 ;16 
Kerry Collins;NYG;335 ;545 ;4073 ;19 ;14 
Jay Fiedler;MIA;179 ;292 ;2024 ;14 ;9 
Tommy Maddox;PIT;234 ;377 ;2836 ;20 ;16 
Steve McNair;TEN;301 ;492 ;3387 ;22 ;15 
Mike Vick;ATL;231 ;421 ;2936 ;16 ;8 
Aaron Brooks;NOR;283 ;528 ;3572 ;27 ;15 
Jon Kitna;CIN;294 ;473 ;3178 ;16 ;16 
Jim Miller;CHI;180 ;314 ;1944 ;13 ;9 
Rodney Peete;CAR;223 ;381 ;2630 ;15 ;14 
Jeff Blake;BAL;165 ;295 ;2084 ;13 ;11 
Drew Brees;SDG;320 ;526 ;3284 ;17 ;16 
Tim Couch;CLE;273 ;443 ;2842 ;18 ;18 
Daunte Culpepper;MIN;333 ;549 ;3853 ;18 ;23 
Shane Matthews;WAS;124 ;237 ;1251 ;11 ;6 
Patrick Ramsey;WAS;117 ;227 ;1539 ;9 ;8 
Chad Hutchinson;DAL;127 ;250 ;1555 ;7 ;8 
Jake Plummer;ARI;284 ;530 ;2972 ;18 ;20 
David Carr;HOU;233 ;444 ;2592 ;9 ;15 
Joey Harrington;DET;215 ;429 ;2294 ;12 ;16 
